Day,Year,Month_x,PM2.5,TempAVG
1/1/2020,2020,1,,29.11666667
2/1/2020,2020,1,3.36,29.1
3/1/2020,2020,1,4.23,29.53333333
4/1/2020,2020,1,4.64,29.96956522
5/1/2020,2020,1,5.5,29.5625
6/1/2020,2020,1,5.91,29.71666667
7/1/2020,2020,1,6.14,29.9875
8/1/2020,2020,1,6.32,30.12916667
9/1/2020,2020,1,6.77,31.23333333
10/1/2020,2020,1,6.36,31.30416667
11/1/2020,2020,1,8.18,30.36666667
12/1/2020,2020,1,6.27,30.3625
13/1/2020,2020,1,5.45,29.57083333
14/1/2020,2020,1,5.27,29.59166667
15/1/2020,2020,1,5.09,29.62916667
16/1/2020,2020,1,5.55,29.79583333
17/1/2020,2020,1,5.77,30.16956522
18/1/2020,2020,1,6.5,30.03333333
19/1/2020,2020,1,7.36,30.25416667
20/1/2020,2020,1,7.23,30.22083333
21/1/2020,2020,1,7.41,30.10416667
22/1/2020,2020,1,6.68,30.6875
23/1/2020,2020,1,5.64,30.18333333
24/1/2020,2020,1,5.23,29.90416667
25/1/2020,2020,1,3.82,29.2125
26/1/2020,2020,1,3.14,29.85
27/1/2020,2020,1,2.82,29.39583333
28/1/2020,2020,1,3.68,28.57391304
29/1/2020,2020,1,4.59,29.4125
30/1/2020,2020,1,4.73,28.46666667
31/1/2020,2020,1,5,27.54090909
1/2/2020,2020,2,6.27,28.44166667
2/2/2020,2020,2,7.32,28.8625
3/2/2020,2020,2,7.36,28.6125
4/2/2020,2020,2,7.23,28.8375
5/2/2020,2020,2,6.59,29.2625
6/2/2020,2020,2,4.95,29.15416667
7/2/2020,2020,2,4.14,30.13333333
8/2/2020,2020,2,4.91,29.96666667
9/2/2020,2020,2,5.36,29.7875
10/2/2020,2020,2,6.27,29.65833333
11/2/2020,2020,2,6.27,31.44166667
12/2/2020,2020,2,7,29.97083333
13/2/2020,2020,2,5.73,30.0125
14/2/2020,2020,2,2.64,30.20869565
15/2/2020,2020,2,2.5,29.9125
16/2/2020,2020,2,3.41,30.21666667
17/2/2020,2020,2,2.64,30.28333333
18/2/2020,2020,2,3.32,29.65833333
19/2/2020,2020,2,5.36,29.40416667
